objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,coll001.jpeg,,,Kappa no Yume,,1900,A kappa dreams of holding a large gourd,kappa; gourd,Japan,35.0116,135.7681,"""Kappa no Yume,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.",Coll 482,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,coll002.jpeg,,,Kappa no Odori,,1910,Three kappa dancing,kappa; dancing,Japan,35.0116,135.7681,"""Kappa no Yume,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.",Coll 482,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,coll003.jpeg,,,Kappa Tōhachiken,,1920,Two kappa playing tōhachiken (a hand game) for cucumbers,kappa; cucumbers; games,Japan,35.0116,135.7681,"""Kappa Tōhachiken,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.",Coll 482,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,coll004.jpeg,,,Kappa no Gidayū,,1930,A kappa chanting gidayū accompanied by a female kappa playing a shamisen,kappa; chanting; shamisen,Japan,35.0116,135.7681,"""Kappa no Gidayū,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.",Coll 482,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,coll005.jpeg,,,"Votive slip folio 13 verso 1, 769.952.C685 v.6",,1940,"A daimeifuda for Frederick Starr. The collection contains several copies of this, suggesting he used it frequently. It depicts a kappa carrying an oversized cucumber (a favorite food of kappa). The top right block of writing says “Starr,” the top left block says “Gonzales,” and the smaller block above the kappa’s knee says Beikoku (America).",kappa; cucumbers,Japan,35.0116,135.7681,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.",769_952_c685_v6_0027a,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
